Keyword,Company,Job_title,City,State,,Salary,,
software developer,Arthrex,Software QA Engineer II,Naples, FL,,$70K - $115K (Employer est.),,
software developer,EasyPost,"Software Engineer III (Delphi, API's)",Remote,,,$127K - $167K (Employer est.),,
software developer,Fusion Plus Solutions Inc.,Software Engineers,Edison, NJ,,$85K - $130K (Glassdoor est.),,
software developer,Andromeda Systems Incorporated,Junior Software Developer,Jacksonville, FL,,$72K - $102K (Glassdoor est.),,
software developer,Favor,Software Engineer II - Back End,Austin, TX,,,,
software developer,DataAnnotation,Software Developer - AI Trainer (Contract),Atlanta, GA,,$40.00 Per Hour (Employer est.),,
software developer,University of North Carolina at Chapel Hill,Research Associate: IT Software Developer (Powell),Chapel Hill, NC,,$85K - $105K (Employer est.),,
software developer,The Seattle Mariners Baseball Club,Software Development Engineer (SDE),Seattle, WA,,$125K - $140K (Employer est.),,
software developer,DataAnnotation,Frontend Software Engineer - AI Trainer,Remote,,,$40.00 Per Hour (Employer est.),,
software developer,Adobe,Software Development Engineer - Front-end,Lehi, UT,,$93K - $171K (Employer est.),,
software developer,"Heniff Transportation Systems, LLC",Software Developer I,Oak Brook, IL,,$80K - $103K (Employer est.),,
software developer,QVine Corporation,Software Developer,Reston, VA,,$88K - $120K (Glassdoor est.),,
software developer,Windstream,Software Engineer I,United States,,,$54K - $68K (Employer est.),,
software developer,Johns Hopkins Applied Physics Laboratory (APL),Software Assurance/Formal Methods Developer,Laurel, MD,,$90K - $230K (Employer est.),,
software developer,"Gray & Company, Inc.",IT Software Developer,Metairie, LA,,,,
software developer,Adobe,Software Engineer,Lehi, UT,,$113K - $206K (Employer est.),,
software developer,Codan Limited,Junior Software Engineer,Carlisle, PA,,$61K - $93K (Glassdoor est.),,
software developer,Microsoft,Software Engineer II,Redmond, WA,,$98K - $209K (Employer est.),,
software developer,Oracle,Software Developer,United States,,,,,
software developer,GE HEALTHCARE,Sr. Software Engineer - SDK/Front-end,Remote,,,$114K - $172K (Employer est.),,
software developer,Oracle,Software Developer,United States,,,,,
software developer,Bellese,"Engineer II, Full Stack",Remote,,,,,
software developer,TTM Technologies,Senior Software Engineer - Embedded Systems,Farmingdale, NY,,$103K - $181K (Employer est.),,
software developer,Uline,Associate Software Developer,Pleasant Prairie, WI,,$80K - $90K (Employer est.),,
software developer,University of Virginia,Front-End Web Developer,Charlottesville, VA,,$70K - $80K (Employer est.),,
software developer,Universal Music Group,Jr. Software Developer,Los Angeles, CA,,$82K - $136K (Glassdoor est.),,
software developer,"General Dynamics Mission Systems, Inc",Software Engineer – Entry Level,Scottsdale, AZ,,$82K - $84K (Employer est.),,
software developer,United Airlines,Software Developer - C++ Unix Linux,Chicago, IL,,$88K - $120K (Employer est.),,
software developer,Splunk,Software Engineer (Frontend) - Early in Career,Colorado,,,$119K - $164K (Employer est.),,
software developer,Chubb,Fullstack Engineer,Jersey City, NJ,,$93K - $112K (Employer est.),,
software developer,Tesla,"Frontend Engineer, Vehicle UI",Hawthorne, CA,,$106K - $188K (Employer est.),,
software developer,JPMorganChase,"Software Engineer III - Web UI, React",Houston, TX,,$79K - $115K (Glassdoor est.),,
software developer,TikTok,[HackerRank] Software Engineer Graduate (TikTok Short Video) - 2025 Start (Bachelors/Master),Los Angeles, CA,,$119K - $168K (Employer est.),,
software developer,Photon,"React JS Developer | Atlanta, Georgia",Atlanta, GA,,$44K - $157K (Employer est.),,
software developer,Charles Schwab,Full Stack Software Engineer,Chicago, IL,,$67K - $137K (Employer est.),,
software developer,Liberty Personnel Services,Python Software Engineer,Philadelphia, PA,,$104K - $171K (Glassdoor est.),,
software developer,Davidsons Inc,PHP Ecommerce Developer (On Site Only),Prescott, AZ,,$100K (Employer est.),,
software developer,Battelle,Junior Software Developer,Columbus, OH,,$80K - $109K (Glassdoor est.),,
software developer,Pappas Restaurants,Software Engineer,Houston, TX,,$79K - $125K (Glassdoor est.),,
software developer,Oak Ridge Schools,Software Developer,Oak Ridge, TN,,$78K - $104K (Glassdoor est.),,
software developer,Buc-ee's,Application Support Developer,Lake Jackson, TX,,$65K - $97K (Glassdoor est.),,
software developer,Oracle,Software Developer,Austin, TX,,$94K - $146K (Glassdoor est.),,
software developer,Aptiva Corp,Software Developer,North Brunswick, NJ,,$86K - $114K (Glassdoor est.),,
software developer,JPMorganChase,Experienced Software Engineer Java / Python (Full Stack or Back End),Columbus, OH,,,,
software developer,Salesforce,Software Engineer - Einstein Platform,San Francisco, CA,,$126K - $237K (Employer est.),,
software developer,DocuSign,"Software Frontend Engineer, UI",San Francisco, CA,,$109K - $169K (Employer est.),,
software developer,"General Dynamics Mission Systems, Inc",Embedded Software Engineer,Dedham, MA,,$102K - $109K (Employer est.),,
software developer,DataAnnotation,Software Developer - AI Trainer (Contract),Austin, TX,,$40.00 Per Hour (Employer est.),,
software developer,"T-Mobile USA, Inc.","Engineer, Software",Bellevue, WA,,$93K - $167K (Employer est.),,
software developer,American Express Global Business Travel,SOFTWARE DEVELOPMENT ENGINEER III,Chicago, IL,,$60K - $120K (Employer est.),,
software developer,Neptune Technology Group Inc.,Senior Firmware Engineer I,Duluth, GA,,$100K - $131K (Glassdoor est.),,
software developer,Harry and David,SAP Programmer,Melrose Park, IL,,$100K (Employer est.),,
software developer,Company Sage,Software Engineer 2,Miami, FL,,$125K - $150K (Employer est.),,
software developer,The Hershey Company,Software Development Engineer II,Dallas, TX,,$93K - $121K (Glassdoor est.),,
software developer,Naval Nuclear Laboratory,Entry Level Computer/Software Engineer,Niskayuna, NY,,$62K - $95K (Employer est.),,
software developer,Home Depot / THD,Software Engineer (REMOTE),Atlanta, GA,,$102K - $170K (Employer est.),,
software developer,Abbott Laboratories,Software Systems Engineer I,Saint Paul, MN,,$50K - $100K (Employer est.),,
software developer,Solventum,Data science software developer,Murray, UT,,$137K - $168K (Employer est.),,
software developer,Responsive Auto Underwriters LLC,Software Developer,Florida,,,,,
software developer,Amentum,Entry Level Software Developer,Dahlgren, VA,,$68K - $98K (Glassdoor est.),,
software developer,Propio,Software Development Engineer II,Overland Park, KS,,$98K - $141K (Glassdoor est.),,
software developer,Fusion Plus Solutions Inc.,Software Engineers,Edison, NJ,,$85K - $130K (Glassdoor est.),,
software developer,Complex,"Software Engineer (JavaScript, Next.js, React)",New York, NY,,$115K - $140K (Employer est.),,
software developer,"Modern Technology Solutions, Inc.",Junior Front-End Software Developer,Wright Patterson AFB, OH,,$100K - $160K (Employer est.),,
software developer,DataAnnotation,Software Developer - AI Trainer (Contract),Remote,,,$40.00 Per Hour (Employer est.),,
software developer,Parsons,C++/Java Software Developer,New Jersey,,,$117K - $228K (Employer est.),,
