,Keyword,Job_title,Company,City,State,Mean_Salary,Remote,Rent Q4 2024,Vacancy Q4 2024,Median Monthly Rent,Electricity Price (cents per kWh),Internet Speed (Mbps),Average internet monthly payment,Annual Commute Cost,Remote Salary (Annual),In-Office Salary (Annual),Remote Work Expenses,In-Office Expenses,Total In-office salary,Total Remote salary
128,IT project manager,Sr Project Manager,"Mom's Meals, a PurFoods Company",Kansas City,Kansas,104500.0,0,24.7,20.0%,,,,,4325.62,104500.0,104500.0,,48785.62,153285.62,
129,IT project manager,IT Senior Project Manager (Hybrid),EVERSOURCE,Westwood,Massachusetts,142500.0,0,,,"$1,336.00",29.25,401.2,93.6,,142500.0,142500.0,4282.2,,,146782.2
130,IT project manager,Technical Full Stack JAVA Team lead Scrum Master,Deloitte,Austin,Texas,109000.0,0,45.7,27.9%,,,,,6365.46,109000.0,109000.0,,88625.46,197625.46000000002,
131,IT project manager,Technical Project Manager 4,"Value Added Solutions, Inc.",Los Alamos,New Mexico,126000.0,0,,,$857.00,14.14,288.7,68.46,,126000.0,126000.0,2348.64,,,128348.64
132,IT project manager,Project Manager III,Centene,Florida,,120500.0,0,,,,,,,,120500.0,120500.0,,,,
133,IT project manager,Senior Project Manager,AT&T,Plano,Texas,132000.0,0,,,,,,,7098.23,132000.0,132000.0,,,,
134,IT project manager,Senior Project Manager,W2O Group,Remote,,125000.0,1,,,,,,,,125000.0,125000.0,,,,
135,IT project manager,Sr. Project Manager (Remote),Govcio LLC,Remote,,105000.0,1,,,,,,,,105000.0,105000.0,,,,
136,IT project manager,Sr IT Project Manager - Remote Opportunity,KinderCare Education,Beaverton,Oregon,108500.0,0,,,"$1,173.00",14.23,316.9,72.27,,108500.0,108500.0,2404.08,,,110904.08
137,IT project manager,Senior Project Manager,Premise Health,Remote,,97000.0,1,,,,,,,,97000.0,97000.0,,,,
138,IT project manager,Delivery Manager / Senior Project Manager,Cognizant,Boston,Massachusetts,151500.0,0,53.3,17.0%,"$1,336.00",29.25,401.2,93.6,8589.18,151500.0,151500.0,4282.2,104529.18,256029.18,155782.2
139,IT project manager,Sr. Project Manager,hims & hers,San Francisco,California,117500.0,0,70.6,28.8%,,,,,12650.66,117500.0,117500.0,,139730.66,257230.66,
140,IT project manager,Agile Scrum Lead,"QSC, LLC",Remote,,131500.0,1,,,,,,,,131500.0,131500.0,,,,
141,IT project manager,Senior Project Manager,Origami Risk LLC,Remote,,120000.0,1,,,,,,,,120000.0,120000.0,,,,
142,IT project manager,Senior Project Manager,Ephesus Solutions,Franklin,Tennessee,135000.0,0,,,,,,,,135000.0,135000.0,,,,
143,IT project manager,Project Manager III - IT Capital Construction (Oakland),Kaiser Permanente,Oakland,California,152500.0,0,,,,,,,8415.01,152500.0,152500.0,,,,
144,IT project manager,Senior Project Manager,"Celldex Therapeutics, Inc.",Hampton,New Jersey,113000.0,0,,,"$1,368.00",17.69,427.8,82.79,,113000.0,113000.0,2904.0,,,115904.0
