,Keyword,Company,Job_title,Location,salary,post_date,Experience,Mean_Salary,Remote,City/County,State,Cleaned_Salary
91,IT project manager,MTH Consulting,Scrum Master (Junior),"Chantilly, VA",$65K - $80K (Employer est.),30d+,Entry-level,72500.0,0,Chantilly,VA,72.5
92,IT project manager,Advantech USA,Junior Technical Project Manager,"Downers Grove, IL",$24.00 - $30.00 Per Hour (Employer est.),30d+,Entry-level,,0,Downers Grove,IL,
93,IT project manager,AIG,Assistant Delivery Lead/Scrum Master,"Charlotte, NC",$96K - $140K (Glassdoor est.),30d+,Entry-level,118000.0,0,Charlotte,NC,118.0
94,IT project manager,Quantaleap,Project Manager 1,"Richmond, VA",$77K - $116K (Glassdoor est.),30d+,Entry-level,96500.0,0,Richmond,VA,96.5
96,IT project manager,DEPARTMENT OF INFORMATION RESOURCES,Portfolio Project Manager I,"Austin, TX",$7K - $9K (Employer est.),30d+,Entry-level,8000.0,0,Austin,TX,8.0
97,IT project manager,DEPARTMENT OF INFORMATION RESOURCES,Portfolio Project Manager I,"Austin, TX",$7K - $9K (Employer est.),30d+,Entry-level,8000.0,0,Austin,TX,8.0
99,IT project manager,"Salient CRGT, Inc",Project Manager 1,"Fort Eustis, VA",$65K - $89K (Glassdoor est.),30d+,Entry-level,77000.0,0,Fort Eustis,VA,77.0
101,IT project manager,All Points Logistics,Cleared Scrum Master Junior to SME (Top Secret),"Huntsville, AL",$71K - $109K (Glassdoor est.),30d+,Entry-level,90000.0,0,Huntsville,AL,90.0
102,IT project manager,"Power Systems Mfg., LLC",Project Manager I,"Jupiter, FL",$70K - $96K (Glassdoor est.),30d+,Entry-level,83000.0,0,Jupiter,FL,83.0
103,IT project manager,City of New Orleans,INFRASTRUCTURE PROJECT MANAGER I,"New Orleans, LA",$72K (Employer est.),30d+,Entry-level,72000.0,0,New Orleans,LA,72.0
104,IT project manager,"CW Resources, Inc.",Assistant Project Manager,"Minot AFB, ND",$22.00 Per Hour (Employer est.),17d,Entry-level,11000.0,0,Minot AFB,ND,11.0
105,IT project manager,Scott Electric Company,Assistant Project Manager,"Greensburg, PA",$57K - $87K (Glassdoor est.),24d,Entry-level,72000.0,0,Greensburg,PA,72.0
106,IT project manager,Draper,Program Manager I Tailored Systems,"Cambridge, MA",$124K - $166K (Glassdoor est.),7d,Entry-level,145000.0,0,Cambridge,MA,145.0
107,IT project manager,"Goldbelt, Inc.",Project Manager (Levels 1-3),"Fort Detrick, MD",$110K - $150K (Employer est.),21d,Entry-level,130000.0,0,Fort Detrick,MD,130.0
108,IT project manager,City of Hopewell,ERP Administrator I,"Hopewell, VA",$58K - $96K (Employer est.),30d+,Entry-level,77000.0,0,Hopewell,VA,77.0
109,IT project manager,OBXtek Inc.,Jr. Project Manager I,"Scott Air Force Base, IL",$56K - $78K (Glassdoor est.),17d,Entry-level,67000.0,0,Scott Air Force Base,IL,67.0
111,IT project manager,CyberLinx Solutions LLC,Technical Manager Level 1,"Annapolis Junction, MD",$71K - $113K (Glassdoor est.),30d+,Entry-level,92000.0,0,Annapolis Junction,MD,92.0
112,IT project manager,Information Technology Senior Management Forum,Program Manager I-Resiliency & Liability Lead,"Atlanta, GA",$103K - $153K (Glassdoor est.),29d,Entry-level,128000.0,0,Atlanta,GA,128.0
